punto_id,region,x1_inicial,x2_inicial,alpha0,beta,c,x1_final,x2_final,f_final,iteraciones,convergio,distancia_final
P006,1,-95.9224858445236,18.17858863764836,1.0,0.5,0.001,2.8793857489457078,0.0,-15.234422383425398,101,True,2.8793857489457078
P006,1,-95.9224858445236,18.17858863764836,1.0,0.7,0.0001,2.8793856921404712,-3.3113217460278965e-06,-15.234422383415266,113,True,2.8793856921423755
P006,1,-95.9224858445236,18.17858863764836,1.0,0.7,0.001,2.8793856921404712,-3.3113217460278965e-06,-15.234422383415266,113,True,2.8793856921423755
P006,1,-95.9224858445236,18.17858863764836,0.8,0.5,0.0001,2.8793848900301153,-3.0725967708603034e-06,-15.234422383418009,95,True,2.879384890031755
P006,1,-95.9224858445236,18.17858863764836,0.8,0.5,0.001,2.8793848796218606,-3.0725967708603034e-06,-15.234422383417899,95,True,2.8793848796235
P006,1,-95.9224858445236,18.17858863764836,0.8,0.7,0.0001,2.8793847672576973,5.11393406611168e-07,-15.234422383425633,125,True,2.8793847672577426
P006,1,-95.9224858445236,18.17858863764836,0.8,0.7,0.001,2.879385744865773,3.3470651830552577e-07,-15.234422383425365,128,True,2.8793857448657927
P006,1,-95.9224858445236,18.17858863764836,0.5,0.5,0.0001,2.8793857489457078,0.0,-15.234422383425398,101,True,2.8793857489457078
P006,1,-95.9224858445236,18.17858863764836,0.5,0.5,0.001,2.8793857489457078,0.0,-15.234422383425398,101,True,2.8793857489457078
P006,1,-95.9224858445236,18.17858863764836,0.5,0.7,0.0001,2.8793856847400234,2.509044884160057e-06,-15.234422383420034,113,True,2.879385684741117
P006,1,-95.9224858445236,18.17858863764836,0.5,0.7,0.001,2.8793856847257406,2.509044884160057e-06,-15.234422383420037,113,True,2.879385684726834
P007,1,-95.4772711089462,-34.933933847347134,1.0,0.5,0.0001,2.8793857332151567,0.0,-15.234422383425647,109,True,2.8793857332151567
P007,1,-95.4772711089462,-34.933933847347134,1.0,0.5,0.001,2.8793857332151567,0.0,-15.234422383425647,109,True,2.8793857332151567
P007,1,-95.4772711089462,-34.933933847347134,1.0,0.7,0.0001,2.8793857281344515,-3.3868761297811523e-06,-15.234422383414252,98,True,2.8793857281364437
P007,1,-95.4772711089462,-34.933933847347134,1.0,0.7,0.001,2.87938572683803,-3.3868761297811523e-06,-15.23442238341427,98,True,2.879385726840022
P007,1,-95.4772711089462,-34.933933847347134,0.8,0.5,0.0001,2.879385607126621,3.173933849896567e-06,-15.234422383417217,95,True,2.8793856071283703
P007,1,-95.4772711089462,-34.933933847347134,0.8,0.5,0.001,2.879385607126621,3.173933849896567e-06,-15.234422383417217,95,True,2.8793856071283703
P007,1,-95.4772711089462,-34.933933847347134,0.8,0.7,0.0001,2.879385597876246,-4.3202588071557907e-07,-15.234422383427205,131,True,2.8793855978762783
P007,1,-95.4772711089462,-34.933933847347134,0.8,0.7,0.001,2.879384885930115,-4.975920300248157e-07,-15.234422383427153,130,True,2.8793848859301576
P007,1,-95.4772711089462,-34.933933847347134,0.5,0.5,0.0001,-0.5320886883368245,0.0,-1.4456224072873973,15,True,0.5320886883368245
P007,1,-95.4772711089462,-34.933933847347134,0.5,0.5,0.001,-0.5320886883368245,0.0,-1.4456224072873973,15,True,0.5320886883368245
P007,1,-95.4772711089462,-34.933933847347134,0.5,0.7,0.0001,2.8793847762232696,0.0,-15.234422383426033,67,True,2.8793847762232696
P007,1,-95.4772711089462,-34.933933847347134,0.5,0.7,0.001,2.8793847762232696,0.0,-15.234422383426033,67,True,2.8793847762232696
P008,1,-94.85212487500108,-44.27070715267772,1.0,0.5,0.0001,2.879385766897692,0.0,-15.234422383425123,121,True,2.879385766897692
P008,1,-94.85212487500108,-44.27070715267772,1.0,0.5,0.001,2.879385766897692,0.0,-15.234422383425123,121,True,2.879385766897692
P008,1,-94.85212487500108,-44.27070715267772,1.0,0.7,0.0001,2.879384792368788,3.455433389400782e-06,-15.234422383414314,108,True,2.8793847923708613
P008,1,-94.85212487500108,-44.27070715267772,1.0,0.7,0.001,2.87938479168876,3.455433389400781e-06,-15.234422383414312,108,True,2.8793847916908333
P008,1,-94.85212487500108,-44.27070715267772,0.8,0.5,0.0001,2.879384819103869,-3.3675581314566566e-06,-15.234422383415279,87,True,2.879384819105838
P008,1,-94.85212487500108,-44.27070715267772,0.8,0.5,0.001,2.879384819103869,-3.3675581314566566e-06,-15.234422383415279,87,True,2.879384819105838
P008,1,-94.85212487500108,-44.27070715267772,0.8,0.7,0.0001,2.879384868361509,3.8182579647179224e-07,-15.234422383427056,129,True,2.879384868361534
P008,1,-94.85212487500108,-44.27070715267772,0.8,0.7,0.001,2.879385613042633,5.833862924996664e-07,-15.234422383426887,126,True,2.8793856130426927
P008,1,-94.85212487500108,-44.27070715267772,0.5,0.5,0.0001,2.8793847498171283,0.0,-15.234422383425635,120,True,2.8793847498171283
P008,1,-94.85212487500108,-44.27070715267772,0.5,0.5,0.001,2.8793847498171283,0.0,-15.234422383425635,120,True,2.8793847498171283
P008,1,-94.85212487500108,-44.27070715267772,0.5,0.7,0.0001,2.8793846914950745,0.0,-15.234422383424722,68,True,2.8793846914950745
P008,1,-94.85212487500108,-44.27070715267772,0.5,0.7,0.001,2.8793846914950745,0.0,-15.234422383424722,68,True,2.8793846914950745
P009,1,-94.19163878318004,73.23522915498702,1.0,0.5,0.0001,2.879384728221875,0.0,-15.234422383425327,124,True,2.879384728221875
P009,1,-94.19163878318004,73.23522915498702,1.0,0.5,0.001,2.879384728221875,0.0,-15.234422383425327,124,True,2.879384728221875
P009,1,-94.19163878318004,73.23522915498702,1.0,0.7,0.0001,2.8793857072048157,2.699766703743099e-06,-15.234422383418744,105,True,2.8793857072060813
