punto_id,region,x1_inicial,x2_inicial,learning_rate,x1_final,x2_final,f_final,iteraciones,convergio,distancia_final,max_iter_alcanzado
P094,1,-0.9075158765371628,11.844820512829465,0.05,-0.532088886237956,8.750336391042833e-06,-1.4456224072111457,134,True,0.5320888863099067,False
P094,1,-0.9075158765371628,11.844820512829465,0.1,-0.5320888862379579,3.806778541896994e-06,-1.4456224072732224,67,True,0.5320888862515755,False
P094,1,-0.9075158765371628,11.844820512829465,0.2,,5e-324,,2400,False,,True
P094,1,-0.9075158765371628,11.844820512829465,0.3,,0.0,,2400,False,,True
P094,1,-0.9075158765371628,11.844820512829465,0.5,,0.0,,2400,False,,True
P095,1,-0.856354441312213,-5.303912039377343,0.001,-0.5320888862379595,-0.04344055875751424,-1.4437353251425489,2400,False,0.533859218336742,True
P095,1,-0.856354441312213,-5.303912039377343,0.005,-0.5320888862379567,-9.843448123069749e-05,-1.4456223975983669,1084,True,0.5320888953429646,False
P095,1,-0.856354441312213,-5.303912039377343,0.01,-0.5320888862379564,-4.879370099840796e-05,-1.4456224049068886,574,True,0.5320888884752003,False
P095,1,-0.856354441312213,-5.303912039377343,0.05,-0.532088886237956,-8.192095601537216e-06,-1.4456224072206034,127,True,0.5320888863010191,False
P095,1,-0.856354441312213,-5.303912039377343,0.1,-0.5320888862379536,-3.3293195466713846e-06,-1.4456224072766295,64,True,0.5320888862483695,False
P095,1,-0.856354441312213,-5.303912039377343,0.2,,-5e-324,,2400,False,,True
P095,1,-0.856354441312213,-5.303912039377343,0.3,,0.0,,2400,False,,True
P095,1,-0.856354441312213,-5.303912039377343,0.5,,0.0,,2400,False,,True
P096,1,-0.5632905758683311,-7.446531125239075,0.001,-0.5320888862379595,-0.060989222763125496,-1.4419027219944638,2400,False,0.5355728411254648,True
P096,1,-0.5632905758683311,-7.446531125239075,0.005,-0.5320888862379567,-9.819775729202172e-05,-1.4456223976449145,1118,True,0.5320888952992242,False
P096,1,-0.5632905758683311,-7.446531125239075,0.01,-0.5320888862379564,-4.859199651061157e-05,-1.4456224049265318,591,True,0.5320888884567418,False
P096,1,-0.5632905758683311,-7.446531125239075,0.05,-0.5320888862379561,-8.384559215111536e-06,-1.445622407217413,130,True,0.5320888863040173,False
P096,1,-0.5632905758683311,-7.446531125239075,0.1,-0.5320888862379552,-3.7394106759079312e-06,-1.4456224072737307,65,True,0.5320888862510952,False
P096,1,-0.5632905758683311,-7.446531125239075,0.2,,-5e-324,,2400,False,,True
P096,1,-0.5632905758683311,-7.446531125239075,0.3,,0.0,,2400,False,,True
P096,1,-0.5632905758683311,-7.446531125239075,0.5,,0.0,,2400,False,,True
P097,1,-0.5155195038816096,9.251920443493834,0.001,-0.5320888862379527,0.07577587838214299,-1.4398804235431286,2400,False,0.5374575021362435,True
P097,1,-0.5155195038816096,9.251920443493834,0.005,-0.5320888862379555,9.879126266852862e-05,-1.4456223975280005,1139,True,0.5320888954090862,False
P097,1,-0.5155195038816096,9.251920443493834,0.01,-0.5320888862379558,4.834253902996257e-05,-1.445622404950713,602,True,0.5320888884340185,False
P097,1,-0.5155195038816096,9.251920443493834,0.05,-0.532088886237956,8.438070229066894e-06,-1.445622407216513,132,True,0.5320888863048631,False
P097,1,-0.5155195038816096,9.251920443493834,0.1,-0.5320888862379558,3.7168157357769373e-06,-1.4456224072738992,66,True,0.5320888862509374,False
P097,1,-0.5155195038816096,9.251920443493834,0.2,,5e-324,,2400,False,,True
P097,1,-0.5155195038816096,9.251920443493834,0.3,,0.0,,2400,False,,True
P097,1,-0.5155195038816096,9.251920443493834,0.5,,0.0,,2400,False,,True
P098,1,-0.4562305835316209,8.253984700833435,0.001,-0.5320888862379527,0.0676024988193947,-1.4410523094410876,2400,False,0.5363661815444475,True
P098,1,-0.4562305835316209,8.253984700833435,0.005,-0.5320888862379555,9.843808708079798e-05,-1.445622397597657,1128,True,0.5320888953436305,False
P098,1,-0.4562305835316209,8.253984700833435,0.01,-0.5320888862379558,4.8686075954035475e-05,-1.44562240491738,596,True,0.5320888884653412,False
P098,1,-0.4562305835316209,8.253984700833435,0.05,-0.532088886237956,8.364353829822565e-06,-1.4456224072177515,131,True,0.5320888863036992,False
P098,1,-0.4562305835316209,8.253984700833435,0.1,-0.5320888862379552,3.3159105081252265e-06,-1.4456224072767188,66,True,0.5320888862482874,False
P098,1,-0.4562305835316209,8.253984700833435,0.2,,5e-324,,2400,False,,True
P098,1,-0.4562305835316209,8.253984700833435,0.3,,0.0,,2400,False,,True
P098,1,-0.4562305835316209,8.253984700833435,0.5,,0.0,,2400,False,,True
P099,1,-0.21524318834099,-7.738341854654988,0.001,-0.5320888862379527,-0.06337923621794016,-1.4416054797041444,2400,False,0.5358502686772811,True
P099,1,-0.21524318834099,-7.738341854654988,0.005,-0.5320888862379555,-9.802486434756028e-05,-1.4456223976788398,1122,True,0.5320888952673435,False
P099,1,-0.21524318834099,-7.738341854654988,0.01,-0.5320888862379558,-4.849654472691241e-05,-1.445622404935799,593,True,0.5320888884480328,False
P099,1,-0.21524318834099,-7.738341854654988,0.05,-0.532088886237956,-8.713128893965072e-06,-1.4456224072117954,130,True,0.5320888863092962,False
P099,1,-0.21524318834099,-7.738341854654988,0.1,-0.532088886237957,-3.885948726789614e-06,-1.4456224072726134,65,True,0.5320888862521469,False
P099,1,-0.21524318834099,-7.738341854654988,0.2,,-5e-324,,2400,False,,True
P099,1,-0.21524318834099,-7.738341854654988,0.3,,0.0,,2400,False,,True
P099,1,-0.21524318834099,-7.738341854654988,0.5,,0.0,,2400,False,,True
P100,2,0.0101231676924373,-10.17575845747504,0.001,-0.5320888862379527,-0.08334237632381858,-1.4386764555964129,2400,False,0.538576396205075,True
P100,2,0.0101231676924373,-10.17575845747504,0.005,-0.5320888862379555,-9.826647607568694e-05,-1.4456223976314135,1149,True,0.5320888953119096,False
P100,2,0.0101231676924373,-10.17575845747504,0.01,-0.5320888862379558,-4.806121380654912e-05,-1.4456224049778337,607,True,0.5320888884085333,False
P100,2,0.0101231676924373,-10.17575845747504,0.05,-0.532088886237956,-8.352578096660937e-06,-1.4456224072179484,133,True,0.5320888863035143,False
P100,2,0.0101231676924373,-10.17575845747504,0.1,-0.5320888862379548,-3.2703626789013637e-06,-1.4456224072770187,67,True,0.5320888862480051,False
P100,2,0.0101231676924373,-10.17575845747504,0.2,,-5e-324,,2400,False,,True
P100,2,0.0101231676924373,-10.17575845747504,0.3,,0.0,,2400,False,,True
P100,2,0.0101231676924373,-10.17575845747504,0.5,,0.0,,2400,False,,True
P101,2,0.0287869772595117,-11.517820784792512,0.001,-0.5320888862379527,-0.09433425118019852,-1.4367234563419853,2400,False,0.5403864670804347,True
P101,2,0.0287869772595117,-11.517820784792512,0.005,-0.5320888862379555,-9.85896317521123e-05,-1.4456223975677984,1161,True,0.5320888953716882,False
P101,2,0.0287869772595117,-11.517820784792512,0.01,-0.5320888862379558,-4.818975476456082e-05,-1.4456224049654616,613,True,0.5320888884201593,False
P101,2,0.0287869772595117,-11.517820784792512,0.05,-0.532088886237956,-8.508766025581936e-06,-1.4456224072153148,134,True,0.5320888863059889,False
P101,2,0.0287869772595117,-11.517820784792512,0.1,-0.5320888862379547,-3.701684881208005e-06,-1.4456224072740116,67,True,0.5320888862508308,False
P101,2,0.0287869772595117,-11.517820784792512,0.2,,-5e-324,,2400,False,,True
P101,2,0.0287869772595117,-11.517820784792512,0.3,,0.0,,2400,False,,True
P101,2,0.0287869772595117,-11.517820784792512,0.5,,0.0,,2400,False,,True
P102,2,0.0309132330577348,12.849556877631764,0.001,-0.5320888862379527,0.10524155121854448,-1.4345466231848285,2400,False,0.5423968721893873,True
P102,2,0.0309132330577348,12.849556877631764,0.005,-0.5320888862379555,9.847731963738385e-05,-1.4456223975899314,1172,True,0.53208889535089,False
P102,2,0.0309132330577348,12.849556877631764,0.01,-0.5320888862379558,4.8596269186644085e-05,-1.4456224049261166,618,True,0.5320888884571314,False
P102,2,0.0309132330577348,12.849556877631764,0.05,-0.532088886237956,8.543324952032667e-06,-1.4456224072147255,135,True,0.5320888863065427,False
P102,2,0.0309132330577348,12.849556877631764,0.1,-0.5320888862379569,3.3037506877658e-06,-1.4456224072767991,68,True,0.5320888862482134,False
P102,2,0.0309132330577348,12.849556877631764,0.2,,5e-324,,2400,False,,True
P102,2,0.0309132330577348,12.849556877631764,0.3,,0.0,,2400,False,,True
P102,2,0.0309132330577348,12.849556877631764,0.5,,0.0,,2400,False,,True
P103,2,0.050701486830915,13.87945244033775,0.001,-0.5320888862379527,0.1136766908614495,-1.4327000172425044,2400,False,0.5440964738933294,True
P103,2,0.050701486830915,13.87945244033775,0.005,-0.5320888862379555,9.815263387755718e-05,-1.4456223976537743,1180,True,0.5320888952908973,False
P103,2,0.050701486830915,13.87945244033775,0.01,-0.5320888862379558,4.841627953631284e-05,-1.4456224049435777,622,True,0.5320888884407232,False
P103,2,0.050701486830915,13.87945244033775,0.05,-0.532088886237956,8.305267343845405e-06,-1.4456224072187365,136,True,0.5320888863027736,False
P103,2,0.050701486830915,13.87945244033775,0.1,-0.5320888862379569,3.5685472255779237e-06,-1.4456224072749795,68,True,0.5320888862499235,False
P103,2,0.050701486830915,13.87945244033775,0.2,,5e-324,,2400,False,,True
P103,2,0.050701486830915,13.87945244033775,0.3,,0.0,,2400,False,,True
P103,2,0.050701486830915,13.87945244033775,0.5,,0.0,,2400,False,,True
P104,2,0.0530226210832436,2.5732674382039,0.001,-0.5320888862379527,0.021075797358286824,-1.4451782180534265,2400,False,0.5325061239950509,True
P104,2,0.0530226210832436,2.5732674382039,0.005,-0.5320888862379555,9.846952823985151e-05,-1.445622397591466,1012,True,0.532088895349448,False
P104,2,0.0530226210832436,2.5732674382039,0.01,-0.5320888862379558,4.899070024912775e-05,-1.4456224048876252,538,True,0.5320888884933014,False
P104,2,0.0530226210832436,2.5732674382039,0.05,-0.532088886237956,8.309713628065283e-06,-1.4456224072186625,120,True,0.532088886302843,False
P104,2,0.0530226210832436,2.5732674382039,0.1,-0.5320888862379943,3.943520874502866e-06,-1.4456224072721626,60,True,0.5320888862526079,False
P104,2,0.0530226210832436,2.5732674382039,0.2,,5e-324,,2400,False,,True
P104,2,0.0530226210832436,2.5732674382039,0.3,,0.0,,2400,False,,True
P104,2,0.0530226210832436,2.5732674382039,0.5,,0.0,,2400,False,,True
P105,2,0.0610004998780988,-13.879554337523569,0.001,-0.5320888862379527,-0.11367752542858682,-1.432699827500147,2400,False,0.5440966482579285,True
P105,2,0.0610004998780988,-13.879554337523569,0.005,-0.5320888862379555,-9.815335447350413e-05,-1.4456223976536329,1180,True,0.5320888952910302,False
P105,2,0.0610004998780988,-13.879554337523569,0.01,-0.5320888862379558,-4.841663498856534e-05,-1.4456224049435433,622,True,0.5320888884407555,False
P105,2,0.0610004998780988,-13.879554337523569,0.05,-0.532088886237956,-8.305328317675138e-06,-1.4456224072187356,136,True,0.5320888863027746,False
P105,2,0.0610004998780988,-13.879554337523569,0.1,-0.5320888862379569,-3.5685734243722424e-06,-1.4456224072749793,68,True,0.5320888862499236,False
P105,2,0.0610004998780988,-13.879554337523569,0.2,,-5e-324,,2400,False,,True
P105,2,0.0610004998780988,-13.879554337523569,0.3,,0.0,,2400,False,,True
P105,2,0.0610004998780988,-13.879554337523569,0.5,,0.0,,2400,False,,True
P106,2,0.0920052840435055,-13.778135930430896,0.001,-0.5320888862379527,-0.11284687962607487,-1.4328879890463722,2400,False,0.5439237088960976,True
P106,2,0.0920052840435055,-13.778135930430896,0.005,-0.5320888862379555,-9.842034782967223e-05,-1.445622397601149,1179,True,0.532088895340349,False
P106,2,0.0920052840435055,-13.778135930430896,0.01,-0.5320888862379558,-4.806285288015473e-05,-1.4456224049776762,622,True,0.5320888884086813,False
P106,2,0.0920052840435055,-13.778135930430896,0.05,-0.532088886237956,-8.24464098234168e-06,-1.44562240721974,136,True,0.5320888863018308,False
P106,2,0.0920052840435055,-13.778135930430896,0.1,-0.5320888862379568,-3.5424977288929826e-06,-1.4456224072751647,68,True,0.5320888862497493,False
P106,2,0.0920052840435055,-13.778135930430896,0.2,,-5e-324,,2400,False,,True
P106,2,0.0920052840435055,-13.778135930430896,0.3,,0.0,,2400,False,,True
P106,2,0.0920052840435055,-13.778135930430896,0.5,,0.0,,2400,False,,True
P107,2,0.1033634423372154,0.9406389470444392,0.001,-0.5320888862379527,0.007704102395613512,-1.4455630540939919,2400,False,0.5321446570733065,True
