x0,lr,x_final,f_final,num_iter
"[-0.6781196211625797, -0.24233574803284963]",0.01,[-0.53208889 -0.00426219],-1.4456042410394867,201
"[-4.180039606650821, 0]",0.01,[2.87938214 0.        ],-15.234422383282856,62
"[-0.3537647972677185, -1.0245244118165973]",0.01,[-0.53208889 -0.01801928],-1.445297712812524,201
"[-2.925732523187683, 0]",0.01,[-0.53209427  0.        ],-1.4456224070531674,64
"[-3.2793542874905066, -0.7597608301925614]",0.01,[-0.53208889 -0.01336263],-1.445443847329305,201
"[-4.777666771876778, 0]",0.01,[2.8793825 0.       ],-15.234422383314838,39
"[-1.772436491682512, 1.6298369878010934]",0.01,[-0.53208889  0.02866549],-1.444800697204829,201
"[-3.4342245487240466, 0]",0.01,[-0.53208342  0.        ],-1.445622407045787,59
"[1.5759443278630192, 1.7243490794037832]",0.01,[2.87938524 0.03032776],-15.233502610430707,201
"[0.8114274404912043, 0]",0.01,[2.87938294 0.        ],-15.234422383349141,61
"[1.679426561255817, -1.4658683381335451]",0.01,[ 2.87938524 -0.02578161],-15.233757691805664,201
"[1.8069261769104918, 0]",0.01,[2.87938245 0.        ],-15.234422383311017,42
"[1.7451732837502159, -2.5099872341412746]",0.01,[ 2.87938524 -0.04414552],-15.232473556364768,201
"[1.2186640792320769, 0]",0.01,[2.87938275 0.        ],-15.23442238333515,49
"[0.13054189618961537, 1.6718331040358247]",0.01,[-0.53208889  0.02940411],-1.444757805522404,201
"[0.6905018830510016, 0]",0.01,[2.87938203 0.        ],-15.234422383272737,74
"[1.7523233573301127, -2.0814779311008764]",0.01,[ 2.87938524 -0.03660892],-15.23308217020709,201
"[1.1488192710407874, 0]",0.01,[2.87938257 0.        ],-15.234422383320746,50
"[4.154632704856088, 1.1692975903366953]",0.05,[-5.32088886e-01  9.74638589e-06],-1.445622407192722,113
"[2.5282100953178617, 0]",0.05,[2.87938566 0.        ],-15.234422383426699,21
"[4.402827373550005, 2.7153904860686477]",0.05,[-5.32088886e-01  9.74295990e-06],-1.4456224071927888,121
"[2.608278578423722, 0]",0.05,[2.87938574 0.        ],-15.234422383425533,21
"[4.74344279902939, -1.5487212680420794]",0.05,[            nan -1.09263511e-09],,201
"[2.33097117161522, 0]",0.05,[2.87938466 0.        ],-15.234422383424244,19
"[4.634112780230091, 0.8369625016026938]",0.05,[           nan 5.90483666e-10],,201
"[4.90901342018667, 0]",0.05,[nan  0.],,201
"[4.683715538243085, 1.3108658221378473]",0.05,[           nan 9.24826208e-10],,201
"[4.566476505893959, 0]",0.05,[2.87938461 0.        ],-15.234422383423269,22
"[-1.125058286856437, 2.632760574594279]",0.05,[-5.32088886e-01  9.44647956e-06],-1.445622407198478,121
"[-0.9131567058198078, 0]",0.05,[-0.53208788  0.        ],-1.4456224072794681,10
"[-0.6781196211625797, -0.24233574803284963]",0.05,[-5.32088886e-01 -9.81066372e-06],-1.4456224071914647,98
"[-4.180039606650821, 0]",0.05,[nan  0.],,201
"[-0.3537647972677185, -1.0245244118165973]",0.05,[-5.32088886e-01 -9.48851720e-06],-1.445622407197682,112
"[-2.925732523187683, 0]",0.05,[nan  0.],,201
"[-3.2793542874905066, -0.7597608301925614]",0.05,[            nan -5.36017276e-10],,201
"[-4.777666771876778, 0]",0.05,[nan  0.],,201
"[-1.772436491682512, 1.6298369878010934]",0.05,[2.87938524e+00 9.90353511e-06],-15.234422383331243,116
"[-3.4342245487240466, 0]",0.05,[nan  0.],,201
"[1.5759443278630192, 1.7243490794037832]",0.05,[2.87938524e+00 9.43004521e-06],-15.234422383340396,117
"[0.8114274404912043, 0]",0.05,[2.87938567 0.        ],-15.234422383426557,27
"[1.679426561255817, -1.4658683381335451]",0.05,[ 2.87938524e+00 -9.89688516e-06],-15.234422383331372,115
"[1.8069261769104918, 0]",0.05,[2.87938584 0.        ],-15.234422383423915,18
"[1.7451732837502159, -2.5099872341412746]",0.05,[ 2.87938524e+00 -9.00596253e-06],-15.234422383348216,121
"[1.2186640792320769, 0]",0.05,[2.87938575 0.        ],-15.234422383425468,24
"[0.13054189618961537, 1.6718331040358247]",0.05,[-5.32088886e-01  9.14284813e-06],-1.4456224072041224,117
"[0.6905018830510016, 0]",0.05,[2.8793857 0.       ],-15.234422383426187,30
"[1.7523233573301127, -2.0814779311008764]",0.05,[ 2.87938524e+00 -9.22030771e-06],-15.234422383344306,119
"[1.1488192710407874, 0]",0.05,[2.87938465 0.        ],-15.234422383423992,23
"[4.154632704856088, 1.1692975903366953]",0.1,[           nan 4.85201856e-20],,201
"[2.5282100953178617, 0]",0.1,[1.2325784 0.       ],-0.2519438522266775,201
"[4.402827373550005, 2.7153904860686477]",0.1,[           nan 1.12675551e-19],,201
"[2.608278578423722, 0]",0.1,[3.31489399 0.        ],-11.69594891626101,201
"[4.74344279902939, -1.5487212680420794]",0.1,[            nan -6.42644301e-20],,201
"[2.33097117161522, 0]",0.1,[1.25905534 0.        ],-0.43437565448400406,201
"[4.634112780230091, 0.8369625016026938]",0.1,[           nan 3.47298893e-20],,201
"[4.90901342018667, 0]",0.1,[nan  0.],,201
"[4.683715538243085, 1.3108658221378473]",0.1,[           nan 5.43945814e-20],,201
"[4.566476505893959, 0]",0.1,[nan  0.],,201
"[-1.125058286856437, 2.632760574594279]",0.1,[-5.32088886e-01  4.03469384e-06],-1.4456224072714352,62
"[-0.9131567058198078, 0]",0.1,[-0.53208936  0.        ],-1.4456224072858683,29
"[-0.6781196211625797, -0.24233574803284963]",0.1,[-5.32088886e-01 -4.32341422e-06],-1.445622407269022,51
"[-4.180039606650821, 0]",0.1,[nan  0.],,201
"[-0.3537647972677185, -1.0245244118165973]",0.1,[-5.32088886e-01 -4.79150114e-06],-1.4456224072647554,57
"[-2.925732523187683, 0]",0.1,[nan  0.],,201
"[-3.2793542874905066, -0.7597608301925614]",0.1,[            nan -3.15263939e-20],,201
"[-4.777666771876778, 0]",0.1,[nan  0.],,201
"[-1.772436491682512, 1.6298369878010934]",0.1,[3.32294569e+00 6.76303396e-20],-11.550599352153034,201
"[-3.4342245487240466, 0]",0.1,[nan  0.],,201
"[1.5759443278630192, 1.7243490794037832]",0.1,[2.29579939e+00 7.15521335e-20],-11.438410333964274,201
"[0.8114274404912043, 0]",0.1,[3.37988295 0.        ],-10.423473026597051,201
"[1.679426561255817, -1.4658683381335451]",0.1,[ 1.22944924e+00 -6.08264349e-20],-0.23090699143216398,201
"[1.8069261769104918, 0]",0.1,[2.9083124 0.       ],-15.221526900524909,201
"[1.7451732837502159, -2.5099872341412746]",0.1,[ 3.27475166e+00 -1.04152311e-19],-12.370577617887767,201
"[1.2186640792320769, 0]",0.1,[2.64423601 0.        ],-14.489038946103221,201
"[0.13054189618961537, 1.6718331040358247]",0.1,[-5.32088886e-01  4.00324496e-06],-1.445622407271688,60
"[0.6905018830510016, 0]",0.1,[2.01905187 0.        ],-8.228594686501335,201
"[1.7523233573301127, -2.0814779311008764]",0.1,[ 1.93148208e+00 -8.63712508e-20],-7.179049545920138,201
"[1.1488192710407874, 0]",0.1,[3.15813263 0.        ],-13.885103490975034,201
